title,genre,rating
Inception,Sci-Fi,8.8
The Dark Knight,Action,9.0
Interstellar,Sci-Fi,8.6
The Godfather,Crime,9.2
The Matrix,Sci-Fi,8.7
Avengers: Endgame,Action,8.4
Parasite,Thriller,8.6
Titanic,Romance,7.8
Joker,Crime,8.5
Toy Story,Animation,8.3
Forrest Gump,Drama,8.8
Gladiator,Action,8.5
The Shawshank Redemption,Drama,9.3
Pulp Fiction,Crime,8.9
Frozen,Animation,7.5
Coco,Animation,8.4
Finding Nemo,Animation,8.1
Avengers,Action,8.0
Iron Man,Action,7.9
Black Panther,Action,8.2
